Original;Conceptos
found;establish,establish,establish,saved,organization,start,foundry,institution,recovered
unsubtle;obvious,subtle,clear
rehab;rehabilitate,rehabilitation
crispen;toast,crispy
plansespecially;
directtovideo;
pensive;meditative,sad
slipshod;haphazard,poor,quickly,slapdash
resign;vacate,leave-office,release,submit,hopeless,hand-over,give-up,abdicate,abandonner,renounce
corruption;putrescence,corruptness,debasement,decay,adulteration,corrupt,putrid,impairing,principle,bribe
might;strength,could,maybe,power,may
assertive;imperative,aggressive,emphatic,cocky
petrify;lapidify,rigidify,fossilize,fright,immobilize,petrifaction,mineral,obdurate
hypothermia;frostbite,low,abnormally,body
penance;repentance,sinful,punish,penitent,punishment,sacrament
parkhallucinatory;
smelly;foul-smelling,smell,smell,suspicion,code-smell
thismovie;
page;foliate,Sir-Frederick-Handley-Page,Thomas-Nelson-Page,account,book,paper,sheet,books,turn
everthe;
mauds;
conclusion;termination,decision,ending,stopping-point,decision,conclude,conclusive,outcome,necessary,proposition,premise
homesick;family,home,nostalgic,desirous
speechless;wordless,surprise,speak,silent,amazement,inarticulate
eagerly;thirstily,eager,eagerness
spot;spotlight,descry,topographic-point,touch,smudge,spotter,point,support,penalty-spot,identify,notice,apercevoir,situate,find
butterfly;chat-up,moth,insect,caterpillar,order
something;somewhere,nothing,someone,somethingth,somethingth
lucy;lucia,normandy,pike,lsd,lucius
blahi;
seuss;
bygone;departed,past,let-bygones-be-bygones
physical;forcible,physical-examination,physics,physical-examination,not-virtual-directly-corresponding-to-hardware-operation,material,natural,energetic,somatic,physiologic
paycable;
wellformed;
freddie;fred
ballon;ballet,jump,midair
quickerlike;
simonetta;
ic;Intelligence-Community,99,solid-state,ous,integrated-circuit,incel,in-charge,ical
highschoolers;highschooler
gaudy;flashy,gimcrack,tawdry,ornamented
duris;
tediousand;
fourthform;
monkey;tamper,putter,imp,ape,primate,animal,chinese-zodiac
twistso;
parlay;increase,winning,session,peace-talks,negotiation
responsibility;duty,province,custody,supervision,responsible,duty,funds
iswhat;
againmax;
lisa;
lovin;
shade;lampshade,tad,shadow,nuance,ghost,sun,tree,under,dark,trees
farley;village,hamlet,wiltshire,shropshire
victimize;punish,sacrifice,defraud,victim,swindle
lacey;lassy,calvados
barneys;barney
frodo;fróði,latin,danish
incendiary;incendiary-bomb,arsonist,rabble-rousing,riot,arsonist,agitator,combustible
characterization;portrayal,word-picture,characterize,character,characteristic
taste;sample,preference,smack,smack,sense,tongue,mouth,food,flavor
lowell;Percival-Lowell,Robert-Traill-Spence-Lowell-Jr.,Abbott-Lawrence-Lowell,Amy-Lowell,massachusetts,middlesex-county,north-carolina,wisconsin,oregon
unintelligent;retarded,stupid,unintelligence,intelligent,brainless
curly;curl,short-and-curlies,complicated,quotation-mark,frizzly,ringleted,permed,wavy,curled
shore;land,prop-up,prop,sewer,strut
conaway;
lauren;lauren,lauren,lawrence,laura,loren
naturalistic;naturalism,realism,nature,realistic,appearance,representational
sign;augury,bless,sign-language,sign-of-the-zodiac,signal,stop,road,traffic,yield,placard,insignia
guantanamo;cuba
livedespite;
arte;
cartoony;cartoon
kyon;
amazingto;
responsibilityto;
stuckon;
lightly;gently,light
commemorate;ceremony,object,commemoration,honour
similarly;manner,style
desolation;forlornness,bleakness,devastation,devastation,forsaken,desolate,destruction,desolating
plop;plunk,plank,liquid,land
vampire;vampire-bat,nosferatu,werewolf,creature,desmodus-rotundus,photosensitivity
findi;
meatball;ball,ground,stupid,minced
abbreviate;abridge,omission,curtail,fraction
claim;title,call,assert,insurance,demand,damages,use,demand
unread;bad,uneducated,advice,counsel,read,uninformed
comedian;humorous,amusing,comedy
reacquaint;refamiliarise,again,acquaint,reintroduce
sonluke;
shownbut;
knownothings;
technique;proficiency,formal,technician,technic,achieving,method
wellplayed;
barker;pooch,spruik,cinchona,redshank,need,remove,wood
muster;conscription,rally,assemble,roundup,collection,enroll
timeas;
politics;polity,methodology,government
damp;dampen,dampish,muffle,moderately,sale,enjoyment,positive
sepet;
shocker;shock,two-in-pink-one-in-stink,startle,electric-shock,device
prettymuch;
priestess;oversee,ceremony,priest,priesthood,pagan
etc;and-so-forth,and-so-on,and-like,and-what-have-you,et-al,list,use,known,assumption,et-seq
munro;Hector-Hugh-Munro,mountain,scottish,monroe
therejust;
veterinarian;doctor,medical,doctor,bird
science;skill,chemistry,biology,subject,study,school,art
yabesides;
willynilly;
lade;load,ladle,dipper,lading,remove,ladle
grasshoppersif;
unmissable;miss
hate;dislike,hatred,detest
beyou;
crossedin;
crahan;
westernperhaps;
environmentamongst;
slowly;tardily,slow,pace
petscan;
strongest;strongest
gromit;
thousand;1000,1000,appendix:words-used-as-placeholders-to-count-seconds,numerical
sexuallyfrustrated;
hooligan;bully,yob,anadromous,hooliganism,thug,north-pacific
penryjones;
studio;studio-apartment,organization,workshop,establishment,radio,art
cranston;providence-county,usa,rhode-island
gabrielle;gabrielle,gabriela,gabi,nickname,dysnomia,xena
na;sodium,nanoamp,nid,no,nah,nad
unsuccessful;abortive,unprofitable,unfortunate,defeated,successful,unrewarded,scoreless,unfulfilled,down-and-out,winless
effortsthis;
woodcock;simpleton,scolopacidae,wading-bird,scolopax
manhuntlest;
christmas;holiday,december,santa,winter,jesus,christmastide,advent,yule,epiphany,annunciation
yin;ulster,world,female,yang,east-asia
aweigh;atrip,anchor,perpendicularly,up,free
sorry;disconsolate,apologetic,good-for-nothing,regretful,apology,sad
femalien;
wordjokes;
puerto;
sidewaysan;
stunta;
movieso;
kurtz;
documentarythe;
readyfortv;
collegecrocodile;
encapsulate;expressing,capsule,epitomize,summary,object
countriesgo;
humorless;funny,amusing,levity,amused,serious,po-faced,sobersided,unfunny
woodoo;
swanson;Gloria-May-Josephine-Svensson
abort;cut-short,terminate,premature,function,abandon
revisionist;revisionism,revisionism
animationonce;
philisophyyou;
fussily;fussy
suckedthey;
mischa;
scavenger;magpie,scavenge,solution,scavenge
middleofthenight;
dali;Salvador-Dali,timber,myristica,wood,guiana,tree
anythingdavid;
narnia;
anyyou;
islandcontinent;
barbarity;brutality,atrocity,barbarousness,crudity,barbaric,brutality,barbarous,crude
ritais;
maker;God-Almighty,manufacturer,god,make,makeover,person
shimmer;twinkle,gleam,light,veiled,shining
highstrung;
missile;projectile,messenger,rocket,missive,mission
effort;attempt,deed,campaign,hard,try,work,work,performing
hang;cling,bent,attend,noose,death,suspend,rope,dangle
allow;give-up,leave,admit,let,permit,let,permission,obstruct,allowance
natsuyagi;
shredder;snowboard,snowboarder
element;chemical-element,component,chemical-element,component,principle,elementary,elemental,constitution
vaudeville;style,theatrical,entertainment,europe,flourished,burlesque
condo;condominium,condominium
nymph;dryad,minor,girl,nymphomaniac,water
nut;testis,addict,en,crackpot,semen,venture,ejaculate,en,shank
cummings;cummins
szwarcs;
everythingsound;
heinlein;Robert-Anson-Heinlein
passionate;emotional,hot,passion,enthusiastic,loving,wild,concupiscent,impassioned,overzealous,aroused
cheaply;inexpensively,chintzily,cheap
reunification;reunion,reunified,divided,country,unification,reunify
chortle;chuckle,laugh,muffle,snort,chuckle,vocalisation
loverdirk;
defeatist;defeatism,defeat,defeatism
doneanyway;
reply;answer,answer,answer,answer,answer,email,response,respond,back
alchemy;chemistry,chemistry,philosopher's-stone,philosophers-stone,algorithm,sudden
jorel;
dream;pipe-dream,ambition,sleep,sleeping,night,vision,imagination
cmon;
french;Daniel-Chester-French,French-people,romance-language,quebec,culture,fellatio
sadness;gloominess,sad,emotion,life,dejection
grisly;gruesome,grisy,terribly,terrifying,grise,horrifyingly
hypothesize;speculate,presume,presuppose,guess,hypothetical
robowarrats;
oddball;eccentric,repetitive,eccentric,weirdo,odd-fish
komizu;
mural;painting,wall,wall-painting,painting
gore;Albert-Gore-Jr.,bloodshed,skirt,road,meet,elastic
rarely;seldom,occur,interval,regular,rare,excellently
experimentnowlumet;
hangin;
ollies;ollie
curr;coo,owl,cat,purr
chauffers;chauffer
egypt;Egyptian-Empire,mediterranean,nile,arab-republic-of-egypt,appendix:place-names-in-egypt,north-africa
putdown;
maegi;
pointless;superfluous,scoreless,futile,needless,wasted,discourse,prominent,blunt
gameplay;video-game,mechanics,experience,player,rules
enticement;temptation,lure,tempt,incite,entice
yearsure;
criticallyminded;
poo;piece,feces,feces,say,say,pee,pee
charactersas;
seminal;originative,innovative,originate,power,creative,basis,original
rockford;county-seat,hennepin-county,north-carolina,michigan,ohio
belly;abdomen,stomach,womb,fuselage,abdomen,swell
exsoldiers;
recount;tell,tell,narrate
stuart;Gilbert-Charles-Stuart,county-seat,england,virginia,usa,patrick-county
bro;brother,buddy,bro,fratboy,brother
eltons;
prototypical;archetypical,archetypal,prototypic,representing,original,type,modelled,constituting
stir;raise,bustle,splash,touch,stimulate,become,bring,act,change
outif;
wager;bet,bet,stake,bet,stake,bet,collateral,agent-noun
fictionthe;
central;primal,stirling,stirlingshire,region,london-underground,clackmannanshire,amidship,halfway,bicentric,bifocal,centered
suprising;
foxand;
auggie;
breakup;separation,dissolution,friendship,spring,disintegration,break-up,breakdown
allowance;valuation-reserve,deduction,acknowledgment,coin,admit
revisit;visit,reconsider,re-experience
helmut;
bankroll;support,finance,roll,banknote,monetary,currency,underwrite
imbecile;imbecilic,idiot,feeble,impotent
dimensional;dimension,three-dimensional,multidimensional
demonic;diabolical,demon,genius,demonization,demonize
balance;proportion,balance-wheel,remainder,Libra,account,unperturbed,clear-headed,art
desecrate;remove,profane,violate,sacredness,desecration
floozy;streetwalker
thunderstorm;snow,hail,thunder,cumulonimbus,rain
collegeage;
disown;disinherit,renounce,disavow,process,user,launch,session
innowayscary;
thrunot;
belitski;
plotscript;
halfway;half,halfways,way,midway,fractional,intermediate,central
kernel;nut,hardware,vector-space,center
donnybrook;chaos,brawl,fracas
worm;writhe,maggot,caterpillar,get-blood-out-of-stone,tormentor,screw
dresser;dressing-table,chest-of-drawers,surgeon,coal,bench,casual,mirror
som;somersetshire,uzbekistan,currency,kyrgyzstan
money;cash,currency,dollars,coins,value,currency
isobviously;
glimmer;inkling,gleam,gleam,flicker,faint,flash,light,glow,dim
scaffold;fuse,dome,blast-furnace,surround,platform
subhumans;subhuman
thinlydisguised;
spend;pay-out,break-ground,money
cadaver;corpse,cadence
jai;jay,jaye
paz;
wallow;billow,bask,heavily,depression,wither,animals,flounder
han;bc,imperial,ethnicity,culture,economic
appropriation;annexation,work,funds,public,concept,framework
thisstory;
fatherland;motherland,homeland,sireland,origin,country,ancestor,birth
peruse;consider,examination,examine
eccellestion;
awful;frightening,unspeakable,awe-inspiring,frightfully,nasty,horror,terrible,great,very,extraordinary,reverent
janvier;
tavern;drink,alcoholic,accommodation,inn
actedparticularly;
minimalist;reduce,minimum,minimalism,minimize,minimal,moderate
solo;unaccompanied,football,companion,toe,kick,job,unaccompanied,doppio
kidnapper;kidnap
nots;not,not
suzanne;
disadvantage;con,weakness
overwhelm;submerge,overpower,overpower,engulf,over
cobweb;spiderweb,spider's-web,spider-web,unwary,asymmetrical,intricate
tomanovich;
wittier;
natalia;natalia,natalia,natalie
semen;reproductive-organ
tediousthe;
shownot;
nostalgicincluding;
satellite;sat,moon,grammatical,influence,country,apparatus,outer
unspecified;comment,adequately,specified,detailed,thoroughly
vacancy;void,vacant,available,empty,crystal
transitional;provisional,implementation,transitory,pending,transition
clamor;blare,vociferation,clamour,claim,outcry,become
mi;mile,Security-Service,Secret-Intelligence-Service,myocardial-infarction,Michigan,la,ti,do
informedyet;
selflessness;altruism,selfless,self-sacrifice
reform;reformation
boggy;waterlogged,water,bog,muddy,squishy,dank
tide;ocean,ebb,neap,spring,sea-level
blur;confuse,smear,film-over,blot,smear,indistinct,stain
couple;pair,match,copulate,magnitude,voltaic-couple,couple-close,galvanic-couple,parallel
horrorscifi;
paulus;
attention;care,action,standing,romantic,interest
glean;reap,bit-by-bit,gather,leave-behind,imply
nayakan;
henchman;confederate,follower,subordinate
sacrilegious;sacred,sacrilege,irreverent
extraterrestrial;extraterrestrial-being,environment,space,time-traveler,earth
saratoge;
buchinski;
interface;phase,exoface,operation,surface,contact
capacity;capability,capacitance,ability,absorb,authority,capability,capacitance
hetero;other,heterosexual
annmargret;
christopher;St.-Christopher,kester,christine,chris
narrowsighted;
alternately;alternate,antecedent,alternative,alternating,proportion
starewicz;
nit;candela,louse,shortcoming
conceptcharlize;
watershed;landmark,catchment-area,broadcast,boundary,ridge,critical,crest
windy;impractical,long-winded,breezy,blowy,nervous,frightened,tortuous,accompany,fast
vholes;
decree;rule,admiralty,decision,determination,probate
rustle;crackle,movement,cattle
goodness;good,god,good,healthy,moral,nutritional
mparker;
tobamboo;
galicia;ukraine,kingdom,poland,spain,iberian
didno;
candid;straight-from-the-shoulder,sincere,prejudice,straightforward,posed,ingenuous,unstudied
javier;
squaredi;
franco;Francisco-Franco,lira,italy,caudillo,tuscany
cabbie;cabdriver,taxi
apollo;Phoebus-Apollo,orbital-period,latona,orbit,perihelion,earth
badhey;
steely;resolute,steel,hard,hard
understandthis;
steffen;
insecure;unsafe,unprotected,unfixed,vulnerable,dangerous,confident,overanxious,unguaranteed,unassured,shaky
desertion;abandonment,desert,deserter
jaqueline;
streep;Meryl-Streep
perfume;aroma,fragrance,smell,scent,fill,pleasant,particle
candace;queen,nubian,kush
merciless;unkind,uncompassionate,implacable,bloody,inclement,mortal,bowelless,tigerish,remorseless
janette;janet
stripper;stripper-well,chemical,cow,milk,striptease
fluff;bagatelle,ruffle,tease,botch,superficial,passive,miskick,mishit,inconsequential
shennanigans;
happensset;
equip;need,exigency,service
delirious;hallucinating,delirium,ecstatic,excitement,wild
django;
neonazi;
purveyor;grocer,supply,officer
aristocrat;aristocratic,nobility,advocate
ashwood;wood,ash
whalley;england,lancashire
culminate;peak,culminating,climax,finalize,reach
tubbs;
patience;solitaire,thild,garden-patience,passive,patient,solitaire
kathryn;north-dakota,catherine
princess;prince,royal,principality,queen,prima-donna,prince
bette;elizabeth,diminutive,betty,given-name
chiken;
rhyme;verse,verse,versify,tale,compose
scrapbook;journal,book,notebook,memorabilia,collect
gerries;
endthe;
citizenship;sense,state,status,citizen
group;A,people,several,collection,curve,functional-group
participation;engagement,participate,participant,participating
despair;despondency,emotion,sadness
warren;Earl-Warren,Robert-Penn-Warren,huntington-county,trumbull-county,united-states
neutrally;evenhandedly,neutral,fairly
tackily;tacky
bishop;chess,chess-piece,piece,♗,california
bam;bang,bang,pow,wham,blam,heavy,hoax,cheat,noise,loud
bowdler;Thomas-Bowdler
unmaterial;material
bellastyle;
itami;
tellytubbiesps;
vibrant;vivacious,resounding,lively,vibration,vibrator,colorful,reverberant
handthe;
farfetchedthe;
associate;consort,companion,consociate,associate-degree,join,unit,integral-domain,partner,comrade,equal,subordinate
wartime;war,period,in-progress
jennifer;guinevere,jeni,ginevra,gaynor
singhbut;
sheybal;
insufferablethis;
wilms;
crew;crowd,gang,recruit,pen,rooster
sisterdespite;
overshadow;shadow,dominate,casting,insignificant,shadow,obscure
dubious;doubtful,in-question,doubtful,doubt,disbelief,undecided,suspicion,unconvinced
affiliate;consort,ally,television-station,television-network
pill;medicine,tablet,tag,inlet,rectangle
brussels;Bruxelles,capital,belgium,apparatus,administrative,european-union
gordonlevitt;
injure;hurt,hurt,impair,injustice
ringer;toller,ringnut,dead-ringer,hustler,crowbar,horseshoes,cowboy
sidebar;attorney,webpage,news,conference,judge
closest;
huntif;
band;isthmus,ring,dance-band,set,ring,group,music,musical,rock,music-group,hacklike
maya;Mayan,mayan,olmec,language,quiché,god
sophisticate;twist,cosmopolitan,alter,deceive,refined,mislead,pure
animaniacs;
relateable;
warn;warning,go,notify,order,danger
rental;lease,hire,rent,rent-out,renting
commentsseven;
elder;big-a-,church,shrub,sambucus,reprove,herbaceous
georgia;country,tbilisi,eastern-europe
weaver;minnesota,alabama,new-brunswick
microsoft;widespread
aftereffect;effect
elga;
budgetif;
goodfor;
transfusion;transfer,blood
credibly;plausibly,believably,credible
ibrahim;ibrahim,prophet,abraham
increase;addition,up,raise,bigger,gain,wax
outburst;effusion,burst-out,activity,expression,sudden
christ;messiah,god,Jesus-of-Nazareth,anointed,fulfiller,messiah,title
bookthis;
demean;take-down,debase,demeanor,degrade,humble,demesne,resources
crucial;of-the-essence,decisive,essential,critical,music,material,pivotal,life-and-death,critical
brag;boast,boss,boast,popularize,card-game,excellent,boast
farrell;Eileen-Farrell,James-Thomas-Farrell
laughabledutchers;
rajni;
syrewicz;
truman;President-Truman
likeanother;
unconvincingly;unconvincing
skywalker;mohawk,native-american,skywalk,steelworking,skyway
goth;peasant,gothic,gutan,mournful,gutnish,subculture
froggg;
senor;
minnie;diminutive,wilhelmina,mamie,minerva,mary
wentworth;county-seat,usa,rockingham-county,placename,surrey
shippie;
boleyn;Anne-Boleyn
site;web-site,locate,telecommunications,website,internet
revet;face
storiesthe;
catalyst;substance,encourage,motion,process,enzyme
pickpocket;steal,pocket,sleight-of-hand,steal
bullshit;bs,bulldada,dogshit,catshit,nonsense,card-game
juhi;
weightier;
naughty;risque,misbehave,mischievous,bad
tearinducing;
judge;pronounce,estimate,evaluator,court,courtroom,person,justice,gavel
publicly;publically,public,publicize,publish,publicist,openly
wacked;
graf;Stephanie-Graf,graf,austria,german,iowa,count,paragraph
subhuman;lessperson,nonperson,untermensch,human,unfit,infrahuman
ernest;ernie,ernestine
untalented;talentless,talent,talented
moviesand;
scavenge;salvage,expel,purify,search,refuse,collect
duplicitous;double-dealing,duplicity,duplicitously,duplicate,behavior,duplicitousness
excellentthis;
gianni;
omg;gosh,oh-my-god,oh-my-gosh,oh-my-goodness
friendcolleague;
rampant;rearing,rife,hind,other,occurring,rampage,uncontrolled,abundant
meekers;
producesif;
goodbut;
rocket;skyrocket,space,icbm,firework,angry,skyrocket
deb;debutante,debutante,debbie,debut,debby
el;elevated-railway,elevation,eloah,god,language,le,expression
professionalism;professionalness,profession,standard,discretion,organization
choas;
late;recent,deep,previous,belatedly,belated,time,dead,deceased,period,formerly,latish,dead,advanced,tardive,Modern
wrestler;wrestle,wrestling
toyoji;
filmive;
atwood;rawlins-county,usa,wood,surname,county-seat
naha;okinawa,japan,japan
german;germanic,luxembourg,waltz,point
waitit;
connie;connie-agate,cornelius,concepción,diminutive,conway
pine;ache,tree,pineapple,languish
infomercial;television,commercial,impartial,advertise
giantsgiven;
hulce;
march;Master-of-Architecture,parade,marching-music,month,february,april,third,after
dy;dysprosium
harpy;vixen,moor,marsh-harrier,winged,shrewish,eagle
trudy;diminutive,gertrude,given-name
sacrifice;forfeit,batter,sale,kill,bat
cambodian;Kampuchean,khmer,language,cambodia,khmer
perceive;understand,perception,sense,remark,discern,grasp,notice,realize
allosaurus;allosaur,jurassic,dinosaur,carnivorous,allosaur
bargain;dicker,deal,sale,cheap,negotiate,haggle
notits;
behavior;demeanor,behave,behavior-pattern,behavioral,behavioralist
addition;summation,accession,additional,in-addition-to,division,multiplication
viridiana;
goddawful;
homoerotics;homoerotic,theme
savannah;savanna,missouri,savannah-cat,hardin-county,georgia
opt;choose,select,choose
houswives;
fragment;break-up,shard,fragmental,sentence,broken,code
amadeus;
crandall;hammer,dress,ashlar,head
foreshadow;bode,presage,suggest,advance
jia;
toughest;
paragraph;margin,text,several-sentences,several
chaneys;
teem;pour,prolific,abound,stock,pour,overflow
gayles;
kenny;
dominion;district,realm,govern,nation,domineering,angel
careless;regardless,negligent,carefree,incautious,superficial,inattentive,negligent,imprudent,perfunctory,incautious,reckless,offhanded,haphazard
valentinov;
schulman;
ventimiglia;italy,liguria,italy
grubbers;
prompt;motivate,straightaway,quick,punctual,initiate,punctual,ready
spence;spencer,given-name,buttery,pantry
convictswho;
mannerism;affectation,idiosyncrasy,perspective,mannerist,classicist,high-renaissance
bachlor;
tiki;mythology,polynesian,culture,talisman,pacific-ocean
eh;meh,unremarkable,mediocre
isolation;isolate,compound,contact,sole,database
appreciationthe;
neurosis;severe,disorder,fear,psychosis
blank;space,lacuna,domino,void,unbulleted,downright,scoring,empty,unloaded,complete,unperceptive
awe;fear,reverence,dread,fear,control
defenseless;defenceless,defencelessly,attack,defense,vulnerable,unprotected
vulnerable;conquerable,unprotected,susceptible,insecure,dangerous,defenceless,penetrable,susceptible,threatened,compromising
curtain;window,towers,stage,blind,drape
ransom;punishment,exact,hostage,discharge
cultish;cultlike,fandom
oregon;wisconsin,city,state,salem
legal;effectual,juristic,legitimate,lawful,inch,embassy,legitimate,sanctioned,eligible,sub-judice,judicial
kaufman;George-Simon-Kaufman,jewish,kaufman-county,texas,usa,german
gump;dunce,nitwit
wynorskis;
pryce;
seikos;
materialize;happen,get
dissect;analyze,analyze,organism,autopsy,anatomy,architecture
accidently;
whenwherehow;
cluesfacts;
cornelius;cornelia
wildest;wildest
fair;bazaar,sightly,mediocre,evenhandedly,carnival,just,impartial,reasonable,amusement-park,fair-minded,feminine,clear,antimonopoly,fair-and-square
curator;trustee,curatorium,cure,zoo,manage
ridley;turtle,genus,atlantic,marine,pacific
sickly;under-the-weather,sicken,nausea,unhappiness,sickness,unhealthy
awei;
bondage;zip,enslaved,s-m,goth,tie-up
emphatic;exclamatory,emphasised,emphasis,phonetic,voiceless,phatic,assertive
session;school-term,seance,court,school,client,tea,period
noone;
hick;unsophisticated,yokel,hiccup,dick
upthe;
raspy;gravelly,grating,harsh,rough
gunshot;gunfire,discharge,firearm
viable;practicable,possible,live,newborn,vital,alive-p-
snappier;
allencompassing;
wholly;totally,altogether,completely,exclusively,completely,solely,entirely
frye;Herman-Northrop-Frye
goodohwait;
unload;drop,cargo,memory
letdown;disappointment
longlost;
sorvino;
che;cpe,wet-intermezzo,ч
affluent;feeder,wealthy,material,copious,wealth
painfulits;
seize;assume,grab,impound,appropriate,on,lock,opportunity,circumstance
whichdeeplyhas;
ostensible;seeming,ostentation,ostentatious,display,evident,counterfeit
jellyworms;
astonish;astound,amaze,astound,surprise,flabbergast
eurohouse;house-music,european
necessarily;of-necessity,unavoidably,necessity,necessary
truckloads;truckload
bfilm;
abomb;
rip;steal,rake,rend,rent,repeat,marijuana,tear
allhe;
vinci;
janeiro;
swathe;swaddle,bandage,bandage,bind
listenthe;
unignorable;ignore
uncurse;curse,remove
rainmakerswhich;
drawingrooms;
jordan;montana,usa,dead-sea,garfield-county,appendix:countries-of-world
objection;protest,expostulation,statement,cause,legal,adposition,court-of-law
buttramthe;
amitabh;india
thenali;
chimney;lamp-chimney,fireplace,smokestack,passage,cave,rock
abroad;overseas,overseas,widely,error,throughout,broadly
longhaired;intellectual,hippie,artistic
cryptic;inscrutable,kabbalistic,cipher,distinct,identical,cryptic-crossword,concise
officious;interfering,official,interfering,offensively
cheang;
seriouslyalso;
knowthe;
wassup;what's-up
lan;local-area-network,chinese
lineadd;
blackbooted;
tragedy;calamity,tragic,loss,ruin,genre,character
dice;cube,die,square,ornament,die
heartedimpression;
chawla;
vein;blood,artery,blood-vessel,wood,vascular-bundle
scalia;
aircraft;terminal,passenger,cargo,pilot,lift
navajo;Navaho,athabascan,apachean,na-dené
pawel;
spineless;invertebrate,wishy-washy,spine,uncourageous,cowardly,unarmed
foxthere;
trademark;brandmark,hallmark,hallmark,label,brand
tigronsoh;
professor;teacher,college,punch-and-judy,show,puppeteer
farcealong;
backdrop;act,visual,image,performance
aaargh;aaargh
queue;line,line-up,line-up,join,join,end,back,hairstyle
octopus;eight,nautilus,organization,cuttlefish
zombie;zombi,living-dead,automaton,military,human-being,deceased,information
originalitywill;
terrorize;terrify,terrorism,terror,terrorist,counterterrorism,terrible
matthaus;
shoddy;tawdry,pretence,noil,construction,quality,corrupt
welldeveloped;
gamewhen;
crich;
hearken;hark,hear,attend,compliance,obedience,give-heed
royles;
halfpoint;
somnambulant;somnambulic,sleepwalking,somnambulate,walking,somnambulism,somnambulist
huhunder;
moorehead;
aames;
comedybut;
humouristic;
marquz;
linemoonstruck;
goodnatured;
wayand;
anthony;Marcus-Antonius,Susan-Brownell-Anthony,harper-county,antonia,new-mexico
suitcase;bag,clothes,travel,trade,suit
julias;
movieimagine;
four;4,four-spot,three,year,event,two,figure
mrlevy;
rooker;
unconscious;unconscious-mind,asleep,unaware,insensible,involuntary,semicomatose,senseless,subconscious,unaware,knocked-out
refine;polish,complicate,refinement,unrefined,subtle
bookgone;
berlinrightfully;
manos;
nasal;pinched,rhinal,nasal-consonant,operate,resonance,project,medicine,bone
paranormal;extrasensory,unnatural,extrasensory,supernatural,ghost,telepathy,psychokinetic,psychic,parapsychological,supranormal
buff;fan,buffet,yellowish-brown,revamp,buffy-coat,buffalo,chromatic
lark;meadowlark,pipit,escapade,frolic,laurence,prank,passerine,prank,titlark
therein;in-that,in
dicethe;
selfless;altruistic,unselfish
kitchy;
derrick;bore,framework,derek
commend;set-off,approval,suggest,force
naval;ship,naval-crown,navy
melon;polymerize,cucumber,amine
cinecolor;
external;international,extraneous,outside,essential,outside,superficial,accompanying,outside,outward,outer
horrorsplattergore;
gimenez;
shakiest;
almighty;God-Almighty,all-powerful,supreme-being
vioilent;
momsem;
gory;bloodstained,slaughterous,cover,bloody,blood
mazurskys;
bustline;bust,line,circumference
warship;combat,built,ship,naval
libs;
facet;aspect,compound-eye,crustacean,face,similar
overact;chew-scenery,act,exaggerated
edward;Edward-V,Edward-I,Edward-IV,Black-Prince,Edward-II
priceless;invaluable,price,treasure,ridiculous
themthis;
gadhvis;
murdermystery;
argento;silver
americani;
onto;preposition,top,aware,codomain
ballestaa;
uncommon;unusual,extraordinary,remarkable,uncommonness,exceedingly,unusual,rare,unwonted,extraordinary,red-carpet
hearted;heart,heart
caller;visitor,line-dance,dance,call,cool,fresh
atenborough;
quotable;repeatable,quote,quotability,quotation,worthy
murrarys;
thrust;throw,lunge,push,drive,jab,forward,push,effort,stab,lunge
omega;ω,asset,end,price,ultimate
presume;assume,make-bold,assume,true
roger;roger-that,ten-four,doidge,hodkinson,hodgeon,dodgshon
undecided;undetermined,on-the-fence,reached,open,determined,uncommitted,uncommitted
sneery;sneer,supercilious
zarkovfrank;
smartsthis;
amazement;astonishment,amazed,wonder,astonishment,horror,fear
woe;suffering,curse,sadness,malediction,sadness,chagrin,desolation,heartbreak,affliction
compromise;mutual,concession,derogatory,settlement,agreement,trade-off
diminutive;lilliputian,midget,tiny,small,smallness,youth
frivolity;bagatelle,buffoonery,frivolous
washout;flop,aerodynamic,failure,surface,flooding
spoof;parody,hoax,deception,semen,come,player
surgery;operating-room,operation,clinic,manifold,interview,incision
reenact;enact,depict,recreate,enact,event
sophistication;sophism,edification,worldliness,sophisticate,worldliness,sophistry,adulteration
viewersscares;
treasure;gem,prize,care-for,treasury,precious,store
portlanduschi;
neurotic;over,affected,monomaniacal,obsessive-compulsive,pathological,compulsive,disturbed
jolies;
moovie;
rogersin;
ityou;
spago;
featuresnicholas;
clean;fairly,neat,clean-and-jerk,cleanse,tidy,antiseptic,pure,decent,clean,scrubbed,unused,unqualified,easy,spick-and-span
pedecariss;
disagree;differ,beg-to-differ
cy;ate,diminutive,fy,obstinacy,state
rumble;grumble,noise,onomatopoeia,servant
reisner;
askey;aside
attic;loft,classical,culture,euboea,ancient-greek
right;correctly,mightily,right-on,veracious,correct,direction,correct,just,proper,conservative,opportune,perpendicular,rightish,right-hand,right-wing
twilight;dusk,twilit,evening,dusk,sundown,dawn,dusk,nightfall,golden-hour
rapid;speedy,fast,quick,very,rapidly,river,fast
effectthe;
momentous;moment,outstanding,importance,consequence,significant
contrary;on-the-contrary,reverse,perverse,adverse,adverse,counter,contra,antonymous,different
thief;thieve,thievery,carry-out,theft
talkladen;
surrender;resignation,giving-up,capitulation,up,give,giving,giving-up,give-up,give-up,capitulation,capitulate
dw;
suspension;pause,abeyance,delay,out-of-school-suspension,dissolve,collapse,sentence,discord,lord-ordinary
gunsif;
stupidthis;
